procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 441048      0  39432    0    0     0     0  108  105  4  7 89  0  0
 0  0      0 430756      0  39440    0    0     0     0  112   32  1 36 63  0  0
 1  0      0 429516      0  39440    0    0     0     0   48   38  1 11 88  0  0
 0  0      0 420464      0  39440    0    0     0     0  102   31  0 32 68  0  0
 0  0      0 410296      0  39440    0    0     0     0  108   34  2 34 63  0  0
 1  0      0 404592      0  39440    0    0     0     0   80   38  0 22 78  0  0
 0  0      0 400004      0  39440    0    0     0     0   71   32  1 13 86  0  0
 0  0      0 389712      0  39440    0    0     0     0  117   33  1 31 68  0  0
 0  0      0 379544      0  39440    0    0     0     0  110   34  1 30 68  0  0
 1  0      0 369748      0  39440    0    0     0     0   90   32  0 21 79  0  0
 0  0      0 369252      0  39440    0    0     0     0   90   29  0  3 97  0  0
 0  0      0 358960      0  39440    0    0     0     0   94   32  1 19 80  0  0
 0  0      0 348668      0  39440    0    0     0     0   95   33  1 19 80  0  0
 0  0      0 450728      0  39440    0    0     0     0  205   41  1 60 39  0  0
 0  0      0 450728      0  39440    0    0     0     0   48   34  0  1 99  0  0
 0  0      0 450728      0  39440    0    0     0     0   42   28  0  1 99  0  0
 0  0      0 450728      0  39440    0    0     0     0   45   32  0  2 98  0  0
 0  0      0 450728      0  39440    0    0     0     0   47   32  0  1 99  0  0
 0  0      0 450728      0  39440    0    0     0     0   46   31  0  2 98  0  0
 0  0      0 450728      0  39440    0    0     0     0   44   29  0  1 99  0  0
 0  0      0 450728      0  39440    0    0     0     0   47   33  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 450728      0  39440    0    0     0     0   50   25  0  1 99  0  0
 0  0      0 450728      0  39440    0    0     0     0   45   32  0  1 99  0  0
 0  0      0 450728      0  39440    0    0     0     0   44   24  0  1 99  0  0
 0  0      0 450728      0  39440    0    0     0     0   66   26  1  1 98  0  0
 0  0      0 450728      0  39440    0    0     0     0  151   31  0  1 99  0  0
 0  0      0 450728      0  39440    0    0     0     0   99   27  0  2 98  0  0
 0  0      0 450728      0  39440    0    0     0     0   45   30  0  1 99  0  0
 0  0      0 450728      0  39440    0    0     0     0   52   30  1  1 98  0  0
 0  0      0 450728      0  39440    0    0     0     0   45   25  0  1 99  0  0
 0  0      0 450728      0  39440    0    0     0     0   44   32  0  1 99  0  0
 0  0      0 450728      0  39440    0    0     0     0   99   26  1  1 98  0  0
 0  0      0 450728      0  39440    0    0     0     0   56   43  0  0 100  0  0
 0  0      0 450728      0  39440    0    0     0     0   46   27  0  2 98  0  0
 0  0      0 450728      0  39440    0    0     0     0   45   29  0  1 99  0  0
 0  0      0 450728      0  39440    0    0     0     0   45   32  1  1 98  0  0
 0  0      0 450728      0  39440    0    0     0     0   46   33  0  1 99  0  0
 0  0      0 450728      0  39440    0    0     0     0   45   26  0  1 99  0  0
 0  0      0 450728      0  39440    0    0     0     0   47   30  0  1 99  0  0
 0  0      0 450728      0  39440    0    0     0     0   47   24  0  1 99  0  0
 0  0      0 450728      0  39440    0    0     0     0   46   31  1  1 98  0  0
 0  0      0 450728      0  39440    0    0     0     0   88   28  0  2 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 450728      0  39440    0    0     0     0   69   28  0  1 99  0  0
 0  0      0 450728      0  39440    0    0     0     0   59   25  0  0 100  0  0
 0  0      0 450728      0  39440    0    0     0     0   46   31  1  1 98  0  0
 0  0      0 450728      0  39444    0    0     0     0   48   29  0  2 98  0  0
 0  0      0 450728      0  39444    0    0     0     0   43   28  0  1 99  0  0
 0  0      0 450728      0  39444    0    0     0     0   47   32  1  1 98  0  0
 0  0      0 450728      0  39444    0    0     0     0   43   32  0  1 99  0  0
 0  0      0 450728      0  39444    0    0     0     0   43   27  0  2 98  0  0
 0  0      0 450728      0  39444    0    0     0     0   47   30  0  2 98  0  0
 0  0      0 450728      0  39444    0    0     0     0   57   24  0  1 99  0  0
 0  0      0 450728      0  39444    0    0     0     0   45   30  1  0 99  0  0
 0  0      0 450728      0  39444    0    0     0     0   44   27  0  2 98  0  0
 0  0      0 450728      0  39444    0    0     0     0   45   30  0  1 99  0  0
 0  0      0 450728      0  39444    0    0     0     0   45   26  0  2 98  0  0
 0  0      0 450728      0  39444    0    0     0     0   45   31  0  0 100  0  0
 0  0      0 450728      0  39444    0    0     0     0   47   23  0  2 98  0  0
 0  0      0 450728      0  39444    0    0     0     0   41   29  1  1 98  0  0
 0  0      0 450728      0  39444    0    0     0     0  109   24  0  1 99  0  0
 0  0      0 450728      0  39444    0    0     0     0   94   32  0  2 98  0  0
 0  0      0 450728      0  39444    0    0     0     0   46   32  0  0 100  0  0
 0  0      0 450728      0  39444    0    0     0     0   44   28  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 450728      0  39444    0    0     0     0   54   54  1  1 98  0  0
 0  0      0 450720      0  39444    0    0     0     0   66  207  0  7 93  0  0
 0  0      0 450720      0  39444    0    0     0     0   49   37  0  1 99  0  0
 0  0      0 450720      0  39444    0    0     0     0   51   57  0  2 98  0  0
 1  0      0 450720      0  39444    0    0     0     0   49   43  1  3 96  0  0
 0  0      0 450720      0  39444    0    0     0     0   44   27  0  1 99  0  0
